Geography,Sector,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,"Total, households",138,149,153,146,144,123,127,126,137,146,159,138,91,103,104
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12",579,648,685,679,601,502,531,529,564,644,689,593,647,660,674
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13",-4,-10,-18,-27,-26,18,14,10,16,27,31,28,20,50,45
Northwest Territories,"Total, industries and households","1,999","2,034","2,142","2,126","2,076","2,137","2,122","1,851","2,013","1,960","1,891","1,539","1,640","1,708","1,720"
,"Total, industries","1,808","1,872","1,961","1,969","1,926","1,961","1,945","1,702","1,884","1,823","1,749","1,416","1,525","1,586","1,608"
,"Total, households",191,161,181,157,150,176,177,150,129,136,142,123,116,123,112
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12","1,466","1,489","1,486","1,574","1,577","1,546","1,579","1,310","1,408","1,427","1,421","1,217","1,283","1,353","1,360"
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13",-534,-545,-656,-552,-499,-591,-543,-541,-605,-532,-471,-323,-357,-356,-360
Nunavut,"Total, industries and households",433,459,452,513,644,664,648,682,704,759,886,848,725,869,"1,049"
,"Total, industries",412,437,428,487,614,605,559,622,651,716,847,817,697,840,"1,021"
,"Total, households",22,22,24,26,30,60,89,60,54,44,39,31,28,28,28
,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission 12",593,596,623,665,690,684,632,735,738,737,733,634,699,697,714
,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC) 13",159,137,171,152,46,20,-16,53,34,-22,-153,-214,-26,-172,-335
